Log 2 Ratio RNA Protrusion/Body_1,Log 2 Ratio RNA Protrusion/Body_2,ENSG,Gene name,Protein name,Uniprot
-3.16301,-2.04312,ENSG00000172638,EFEMP2;MBP1,EGF-containing fibulin-like extracellular matrix protein 2,A8K7R4;B2RCM5;B3KM31;B3KQT1;O75967;O95967;Q6FH22;Q96TF5;Q9H3D5
-1.7995,-2.04391,ENSG00000103168,TAF1C,TATA box-binding protein-associated factor RNA polymerase I subunit C,B3KUE8;B7Z5K5;B7Z5S4;B7Z908;B7Z9L7;Q15572;Q59F67;Q8N6V3
-1.80851,-2.04565,ENSG00000120913,PDLIM2,PDZ and LIM domain protein 2,B3KPU0;C9J0X3;C9J760;C9JLG8;C9JRJ0;C9JS55;C9JSR2;C9JSU2;C9K0F0;Q7Z584;Q86WM8;Q8TET9;Q8WZ29;Q96JY6;Q9H4L9;Q9H7I2
-2.12456,-2.04639,ENSG00000104866,PPP1R37,Protein phosphatase 1 regulatory subunit 37,B5MDA4;C9JGF9;O75864;Q8IWK3;Q8TF16
-1.99049,-2.04677,ENSG00000188807,RP13-15M17.2;TMEM201,Transmembrane protein 201,B9EH90;Q5SNT1;Q5SNT2;Q5SNT3
-2.06224,-2.0469,ENSG00000149930,TAOK2,Serine/threonine-protein kinase TAO2,A0PJ48;A5PKY1;A7MCZ2;B2RN35;B4E2V3;B7ZM88;O94957;Q6UW73;Q7LC09;Q86V37;Q9NSW2;Q9UL54
-2.20615,-2.0476,ENSG00000139880,CDH24,Cadherin-24,A8K0L1;Q2TAL1;Q4VBZ5;Q86T00;Q86TS8;Q86UP0;Q86UP1;Q96LQ7;Q9H6Y4;Q9NT84
-1.80784,-2.04793,ENSG00000158792,SPATA2L,Spermatogenesis-associated protein 2-like protein,B3KXI5;Q8IUW3;Q8NHV3
-1.82125,-2.05119,ENSG00000119333,WDR34,WD repeat-containing protein 34,A2A3F8;A2A3F9;B4DXR8;Q5VXV4;Q96EX3;Q9BV46
-1.97826,-2.05382,ENSG00000125967,NECAB3,N-terminal EF-hand calcium-binding protein 3,A8K780;Q5JWF5;Q5JWF6;Q5JWF7;Q86VV1;Q96P71;Q9H433;Q9H8G8;Q9HBW7;Q9HCQ9
-2.04599,-2.05511,ENSG00000126215,XRCC3,DNA repair protein XRCC3,O43542;O43568;Q53XC8;Q9BU18
-1.86187,-2.0558,ENSG00000104518,GSDMD;GSDMDC1,Gasdermin-D,A8K702;B3KTX1;B3KW27;P57764;Q96Q98
-1.88585,-2.05917,ENSG00000006704,GTF2IRD1,General transcription factor II-I repeat domain-containing protein 1,O95444;Q59FS0;Q6DSU6;Q75MX6;Q75MX7;Q86UM3;Q8WVC4;Q9UHK8;Q9UHL9;Q9UI91
-2.07252,-2.06327,ENSG00000187961,KLHL17,Kelch-like protein 17,B3KXL7;Q0VGE6;Q5SV94;Q6TDP4;Q86XA8
-2.02642,-2.06378,ENSG00000105663,WBP7,Histone-lysine N-methyltransferase MLL4,A8MVY7;O15022;O95836;Q96GP2;Q96IP3;Q9UK25;Q9UMN6;Q9Y668;Q9Y669
-2.06108,-2.06415,ENSG00000175793,SFN,14-3-3 protein sigma,P31947;Q6FH30;Q6FH51;Q96DH0
-2.08451,-2.06508,ENSG00000113758,DBN1,Drebrin,A8MV58;B2RBG0;B7Z2Z0;Q16643;Q9UFZ5
0.0320802,-2.06852,ENSG00000186792,HYAL3,Hyaluronidase-3,A8MQU7;B2R8P5;C9JB51;O43820;O60540;Q8NFK2;Q8NFK3;Q8NFK4;Q96E56;Q9BRW9
-1.89026,-2.07059,ENSG00000099812,C19orf21,Uncharacterized protein C19orf21,Q8IVT2
-1.89557,-2.07081,ENSG00000169692,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,O00516;O15106;O15120;Q5VUD3;Q5VUD4;Q8WUW2;Q96IS9;Q9BSV7;Q9BWR7
-1.90207,-2.07154,ENSG00000124225,PMEPA1,Transmembrane prostate androgen-induced protein,A2A2F4;A2A2F5;Q5JY37;Q5TDR6;Q66K30;Q8NER4;Q969W9;Q96B72;Q9UJD3
-2.01085,-2.07202,ENSG00000104903,LYL1,Protein lyl-1,O76102;P12980
-1.95187,-2.07233,ENSG00000196576,MM1;Nbla00445;PLXNB2,Plexin-B2,A0PK02;A6QRG7;A6QRG8;A6QRG9;A6QRH0;A6QRH1;A6QRH2;O15031;Q16293;Q2TBE4;Q3LIB1;Q7KZU3;Q9BSU7
-2.00902,-2.07309,ENSG00000169129,AFAP1L2,Actin filament-associated protein 1-like 2,A8K6P7;B3KVQ8;B7Z363;Q2UZW3;Q5JVU3;Q5T6A6;Q8N4X5;Q8TB54;Q96PX4;Q96SY5
-1.32402,-2.07432,ENSG00000127463,KIAA0090,ER membrane protein complex subunit 1,A6NCL5;A8K6F3;Q14700;Q5TG59;Q5TG60;Q5TG62;Q63HL0;Q63HL3;Q8N766;Q8NBH8
-1.87365,-2.07453,ENSG00000108262,DKFZp686G1540;GIT1,ARF GTPase-activating protein GIT1,B4DGU9;B4DMF7;B4DS81;B4DSV3;Q59FC3;Q6PIN6;Q7Z2E5;Q86SS0;Q9BRJ4;Q9BSI3;Q9Y2X7
-2.16611,-2.07465,ENSG00000178999,aurkb;AURKB;aurkb-sv2,Aurora kinase B,B2RC06;B4DNM4;C7G533;C7G535;O14630;O60446;O95083;Q96DV5;Q96GD4;Q9UQ46
-2.54241,-2.07575,ENSG00000156970,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,B2R6U0;B4DL09;B4DLG3;C9JLW5;O60501;O60566;O60627;O60758;O75389;Q59HH6;Q8WV50;Q96KM4
-2.20991,-2.0783,ENSG00000089639,GMIP,GEM-interacting protein,A0AVN9;B4DLZ1;B7ZLZ0;Q9P107
-2.19895,-2.07882,ENSG00000100226,GTPBP1,GTP-binding protein 1,B0QY59;B2RDW9;O00178;Q6IC67
-2.14164,-2.08006,ENSG00000090674,MCOLN1,Mucolipin-1,B4DFZ1;Q53HA8;Q7Z4F7;Q9GZU1;Q9H292;Q9H4B3;Q9H4B5
-2.04784,-2.08036,ENSG00000167880,EVPL,Envoplakin,A0AUV5;A8K2R8;B7ZLH8;Q92817
-2.05091,-2.08257,ENSG00000169047,IRS1,Insulin receptor substrate 1,P35568
-2.03051,-2.08268,ENSG00000135476,ESPL1,Separin,B4DRU1;Q14674
-2.0149,-2.08293,ENSG00000162073,PAQR4,Progestin and adipoQ receptor family member 4,A8K5Q8;B4DI04;C9JFW4;Q8N4S7;Q8NAS6;Q96NW1
-2.20303,-2.08603,ENSG00000139514,SLC7A1,High affinity cationic amino acid transporter 1,B2R728;P30825;Q5JR49;Q5JR50
-2.28748,-2.0886,ENSG00000155066,PROM2,Prominin-2,A8K2V1;B2R879;Q2HIX6;Q8N271;Q8NB84;Q8TAE2
-1.70802,-2.09023,ENSG00000160226,C21orf2,Protein C21orf2,A8MPS9;O14993;O43822;Q59F82;Q8N5X6;Q99837;Q99838
-1.9415,-2.0915,ENSG00000134259,NGF,Beta-nerve growth factor,A1A4E5;P01138;Q6FHA0;Q96P60;Q9P2Q8;Q9P2Z4;Q9UKL8
-2.01631,-2.09221,ENSG00000101199,ARF1GAP;ARFGAP1,ADP-ribosylation factor GTPase-activating protein 1,B7WNK0;B7Z3U0;B7Z8H8;B7ZBI2;B7ZBI3;Q53F62;Q6PK71;Q8N6T3;Q96KC4;Q96T02;Q9NSU3;Q9NVF6;Q9UIL0
-1.67723,-2.09227,ENSG00000116337,AMPD2,AMP deaminase 2,B2RB47;B4DK50;B4DZI5;Q01433;Q14856;Q14857;Q16686;Q16687;Q16688;Q16729;Q5T693;Q5T694;Q5T695;Q96IA1;Q9UDX8;Q9UDX9;Q9UMU4
-2.4851,-2.09249,ENSG00000132881,C1orf89;RSG1,REM2- and Rab-like small GTPase 1,Q5TEV6;Q5TEV7;Q9BU20
-1.78128,-2.09302,ENSG00000157873,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,B3KW30;B4DU65;B9A034;B9DI86;B9DI88;B9DI89;Q6IB95;Q8N634;Q8WXR1;Q92956;Q96J31;Q9UM65
-2.09723,-2.09527,ENSG00000109736,MFSD10,Major facilitator superfamily domain-containing protein 10,Q07706;Q14728
-2.22407,-2.09703,ENSG00000232427,PRR24,Proline-rich protein 24,C9JVW0
-2.13831,-2.10117,ENSG00000158246,FAM46B,Protein FAM46B,Q96A09
-1.7394,-2.1022,ENSG00000174938,SEZ6L2,Seizure 6-like protein 2,B3KNF3;B3KNK2;B7Z1N0;B7Z5L4;Q6UXD5;Q8NC33;Q9BW82;Q9UJ45;Q9UJ46;Q9UJ47
-1.8355,-2.1051,ENSG00000107281,NPDC1,Neural proliferation differentiation and control protein 1,Q5SPY8;Q5SPY9;Q8NCE1;Q8WXX4;Q9BTD6;Q9BXT3;Q9NQS2;Q9NQX5;Q9Y434
-1.98912,-2.10642,ENSG00000070047,PHRF1,PHD and RING finger domain-containing protein 1,A6H8W1;B7ZM64;B7ZM65;B7ZM66;B9EGP0;C9JS82;Q6PJP2;Q8IVY2;Q8N2Y7;Q9BSM2;Q9P1Y6
-2.23993,-2.10799,ENSG00000006210,CX3CL1,Fractalkine;Processed fractalkine,A0N0N7;O00672;P78423;Q53FD8;Q53H89;Q59GS2;Q6I9S9
-2.22793,-2.11143,ENSG00000100065,CARD10,Caspase recruitment domain-containing protein 10,B0QYC3;B0QYC4;B7Z3N7;Q14CQ8;Q17RA1;Q5TFG6;Q8NC81;Q9BWT7;Q9UGR5;Q9UGR6;Q9Y3H0
-2.00335,-2.11225,ENSG00000106089,STX1A;stx1c,Syntaxin-1A,A8MZ54;B4DSX3;O15447;O15448;Q12936;Q16623;Q75MD9;Q75ME0;Q7Z5K3;Q9BPZ6
-2.23704,-2.11283,ENSG00000103249,CLCN7,H(+)/Cl(-) exchange transporter 7,A6NEJ7;A8K5T9;A8K7X1;B3KPN3;B3KUD9;B3KVJ8;B3KXZ3;B4E3N4;B7Z9L3;P51798;Q2VPA2;Q4VXY0;Q96RY8;Q9BRN4;Q9BSM4;Q9NYX5
-2.24708,-2.11513,ENSG00000179094,PER1,Period circadian protein homolog 1,A2I2P6;A8K4U6;B2RPA8;B4DI49;O15534;Q6IN51;Q9H2D0
-2.38163,-2.11638,ENSG00000178038,ALS2CL,ALS2 C-terminal-like protein,Q32MA1;Q60I27;Q6AI56;Q6ZNC5;Q6ZNC7;Q6ZTL4;Q86YD2;Q8N9U1;Q8NAL7
-2.12378,-2.11669,ENSG00000162337,LRP5,Low-density lipoprotein receptor-related protein 5,O75197;Q96TD6;Q9UES7;Q9UP66
-2.19304,-2.11826,ENSG00000105085,MED26,Mediator of RNA polymerase II transcription subunit 26,A1A4S3;B2R9G9;O95402;Q0VGB6
-2.15877,-2.12028,ENSG00000154237,LRRK1,Leucine-rich repeat serine/threonine-protein kinase 1,A6H8V9;B3KNP5;B3KSX5;Q38SD2;Q6NVH5;Q6NYC0;Q6ZNL9;Q6ZNM9;Q96JN5;Q9BS11;Q9H5S3
-1.80409,-2.1215,ENSG00000111961,DKFZp686I1750;SASH1,SAM and SH3 domain-containing protein 1,B4DTX1;O94885;Q5TGN5;Q5TGN6;Q6P4R9;Q7Z3N8;Q8TAI0;Q9H7R7
-1.55955,-2.12161,ENSG00000145284,SCD5,Stearoyl-CoA desaturase 5,B2RPG0;Q4W5Q5;Q86SK9;Q86UC8;Q8NDS0;Q9BSN4;Q9H7D1
-2.15626,-2.122,ENSG00000114923,AE;SLC4A3,Anion exchange protein 3,A6H8L2;A8K1Q9;B4DR53;B4DS65;B7ZVX6;B9EGD1;P48751;Q12835;Q13717;Q6YIQ9;Q99416
-2.07571,-2.12367,ENSG00000185033,DKFZp686A04130;SEMA4B,Semaphorin-4B,Q2NL81;Q4VBY2;Q6UXE3;Q7Z3N1;Q8WVP9;Q8WY86;Q96FK5;Q9C0B8;Q9H691;Q9NPM8;Q9NPN0;Q9NPR2
-2.20378,-2.12566,ENSG00000112787,FBRSL1,Fibrosin-1-like protein,Q86XQ1;Q9HCM7
-2.00744,-2.13123,ENSG00000160991,ORAI2,Protein orai-2,B4DUB4;C9J2H9;C9J5L2;C9JQR7;C9JUY6;Q96SN7
-2.3186,-2.13127,ENSG00000198925,ATG9A,Autophagy-related protein 9A,A8K140;B3KPP7;B4DYN3;C9IYZ9;C9JD65;C9JDK4;C9JFV2;C9JKV7;C9JS65;C9JX27;C9JXG2;Q3ZAQ6;Q6P0N7;Q7Z317;Q7Z320;Q7Z3C6;Q8NDK6;Q8WU65;Q9BVL5;Q9H6L1;Q9HAG7
-2.13064,-2.133,ENSG00000167680,SEMA6B,Semaphorin-6B,A5PKU4;B4DT36;Q59G31;Q9BXR8;Q9H3T3;Q9NRK9
-2.49101,-2.13516,ENSG00000008300,CELSR3,Cadherin EGF LAG seven-pass G-type receptor 3,B4DSQ9;O75092;Q9NYQ7
-2.07661,-2.13705,ENSG00000100324,MAP3K7IP1;TAB1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,A8K6K3;B7Z3S5;B7Z9N9;B7ZB94;B7ZB95;B8ZZ23;B8ZZ24;Q15750;Q2PP09;Q59FT7;Q8IZW2
-1.92536,-2.13835,ENSG00000174165,ZDHHC24,Probable palmitoyltransferase ZDHHC24,B4DX31;Q6PEW7;Q6UX98;Q9BSJ0
-2.1486,-2.14075,ENSG00000180900,SCRIB,Protein scribble homolog,A0PJK8;Q14160;Q6P496;Q7Z5D1;Q8WWV8;Q96C69;Q96GG1
-2.25544,-2.14298,ENSG00000162572,SCNN1D,Amiloride-sensitive sodium channel subunit delta,A6NNF7;A9Z1X6;B1AMF4;B1PS44;C9JDY8;P51172;Q08AQ3;Q09HT0;Q09HT1;Q5T7L3;Q6ZMN3;Q8NA24
-2.04262,-2.14329,ENSG00000141524,TMC6,Transmembrane channel-like protein 6,B3KTU5;B4E003;B4E0Z0;O43284;Q45VJ2;Q7L2M4;Q7Z403;Q8IU98;Q8IUI7;Q8IWU8;Q8TEQ7;Q96I77;Q9HAG5
-2.39128,-2.14436,ENSG00000100263,RHBDD3,Rhomboid domain-containing protein 3,B0QYJ1;B0QYJ2;Q6I9X3;Q9UGQ7;Q9Y3P4
-1.72535,-2.14512,ENSG00000179922,ZNF784,Zinc finger protein 784,Q8NCA9
-1.44789,-2.14595,ENSG00000168477,dJ34F7.1;TNXA;TNXB;XB,Putative tenascin-XA,B0UYQ5;B6RHJ5;C9J7W4;C9JSR3;O95682;Q16473;Q9NPK7;Q9NPK8;Q9UE34;Q9Y464
-2.26754,-2.14666,ENSG00000186567,CEACAM19,Carcinoembryonic antigen-related cell adhesion molecule 19,Q5XJ15;Q7Z692;Q7Z693
-2.07439,-2.14894,ENSG00000128294,TPST2,Protein-tyrosine sulfotransferase 2,B1AHJ5;B1AHJ6;B1AHJ7;B1AHJ8;B1AHJ9;B1AHK0;B3KQA7;B7Z976;O60704;Q6FI98;Q9H0V4
-2.0816,-2.14981,ENSG00000198792,DKFZp686N1150;TMEM184B,Transmembrane protein 184B,A8K9D7;B0QY30;Q63HM8;Q6AHY5;Q7Z421;Q8NBM5;Q9UGT8;Q9UGT9;Q9UGV5;Q9Y519
-1.97267,-2.15246,ENSG00000105135,ILVBL,Acetolactate synthase-like protein,A1L0T0;C9JNI8;O43341;Q96F08;Q99651;Q9BWN5;Q9UEB2
-2.06237,-2.1531,ENSG00000142910,TINAGL1,Tubulointerstitial nephritis antigen-like,A8K9Q5;B4DK04;B4DNS5;B4DPK6;B4DVG5;Q8TEJ9;Q8WZ23;Q96GZ4;Q96JW3;Q9GZM7
-1.95711,-2.15394,ENSG00000099849,RASSF7,Ras association domain-containing protein 7,Q02833;Q3KP41;Q3KP42
-1.99808,-2.15511,ENSG00000157613,CREB3L1,Cyclic AMP-responsive element-binding protein 3-like protein 1;Processed cyclic AMP-responsive element-binding protein 3-like protein 1,B2RA75;Q8N2D5;Q96BA8;Q96CP0
-1.98356,-2.15535,ENSG00000163545,DKFZp686F01113;NUAK2,NUAK family SNF1-like kinase 2,B4E0Y5;Q68E04;Q9H093
-2.08545,-2.15749,ENSG00000076984,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,B2R9S5;B4DV95;C9J540;O14648;O14733;O14816;O60452;O60453;Q1PG43;Q8IY10
-2.1262,-2.15808,ENSG00000087258,DKFZp686O0962;GNAO1,Guanine nucleotide-binding protein G(o) subunit alpha,B3KP89;P09471;P29777;Q6AWC5;Q8N6I9;Q8TD72;Q9UMV4
-2.0749,-2.15859,ENSG00000121653,MAPK8IP1,C-Jun-amino-terminal kinase-interacting protein 1,B4DJ64;O43407;Q59EU1;Q6NUQ9;Q9UQF2
-1.98259,-2.15907,ENSG00000188483,IER5L,Immediate early response gene 5-like protein,Q5T953;Q6P3E2
-1.91643,-2.16075,ENSG00000178188,SH2B1,SH2B adapter protein 1,A8K2R7;B3KNV5;B4DLN5;B4DQ00;Q96FK3;Q96SX3;Q9NRF1;Q9NRF2;Q9NRF3;Q9P2P7;Q9Y3Y3
-2.14857,-2.16328,ENSG00000172985,SH3RF3,SH3 domain-containing RING finger protein 3,A0SDZ7;A8MPR1;C9JNJ4;Q8NDU1;Q8TEJ3
-2.12909,-2.16911,ENSG00000059122,FLYWCH1,FLYWCH-type zinc finger-containing protein 1,B3KP60;B3KPY2;B3KRZ0;Q4VC44;Q6ZSQ1;Q8WV62;Q9BQG6;Q9BUS5;Q9HCM0
-2.25324,-2.16955,ENSG00000182979,MTA1,Metastasis-associated protein MTA1,A5PLK4;C9JJM0;Q13330;Q59FW1;Q86SW2;Q86TR6;Q8NFI8;Q96GI8;Q9BRL8
-2.3365,-2.17096,ENSG00000173621,LRFN4,Leucine-rich repeat and fibronectin type-III domain-containing protein 4,Q4VBZ3;Q59GV4;Q6IPL6;Q6PJG9;Q7L3C2;Q8N644;Q9BWJ0
-1.82403,-2.17323,ENSG00000166897,ELFN2,Protein phosphatase 1 regulatory subunit 29,Q5R3F8;Q96PY3
-2.14534,-2.17355,ENSG00000115649,CNPPD1,Protein CNPPD1,B2RC77;B3KQN8;C9J597;C9JF31;O75548;Q9BV87;Q9H4N0;Q9UQN0
-2.67572,-2.17372,ENSG00000012171,SEMA3B,Semaphorin-3B,B4DEK9;Q13214;Q6GU46;Q6PI51;Q8NAS4;Q8TB71;Q8TDV7;Q93018;Q96GX0
-1.94467,-2.17782,ENSG00000173473,SMARCC1,SWI/SNF complex subunit SMARCC1,B4DYF9;B4DYQ1;Q05BW5;Q05CR1;Q17RS0;Q58EY4;Q6P172;Q8IWH2;Q92922
-1.71826,-2.17782,ENSG00000153404,PLEKHG4B,Pleckstrin homology domain-containing family G member 4B,Q96HN1;Q96PX9
-2.01755,-2.17803,ENSG00000126062,TMEM115,Transmembrane protein 115,A2IDB7;B2RAF3;O14568;Q12893;Q6IAY4;Q9UIX3
-2.03002,-2.17872,ENSG00000181588,MEX3D;RKHD1,RNA-binding protein MEX3D,A0PJL8;A1L023;Q38IJ5;Q38IJ6;Q71M49;Q86XN8
-2.2682,-2.18163,ENSG00000168264,IRF2BP2,Interferon regulatory factor 2-binding protein 2,B1AM35;B1AM36;B4DSJ2;B4DTU9;Q6P083;Q7Z5L8;Q7Z5L9;Q8N351;Q8WUH8
-2.10628,-2.18376,ENSG00000143367,TUFT1,Tuftelin,A6PVU8;B2RD57;B7Z4Y1;B7Z688;Q53FX0;Q5T384;Q5T385;Q6UWW7;Q9BU28;Q9H5L1;Q9NNX1
-2.25735,-2.18431,ENSG00000079215,SLC1A3,Excitatory amino acid transporter 1,B2R5T3;B4DF14;B4DHC6;B4DIS2;P43003;Q4JCQ8;Q7Z5T0;Q8N169
-1.8287,-2.18734,ENSG00000167967,E4F1,Transcription factor E4F1,A8K2R4;B4DL00;O00146;Q59GV1;Q66K89
-2.4446,-2.192,ENSG00000182095,TNRC18,Trinucleotide repeat-containing gene 18 protein,A3KMH2;A8MSW5;A8MTZ4;A8MX41;B5ME58;C9J9K1;C9JS29;O15417;Q96JH1;Q96K91
-1.937,-2.19226,ENSG00000164068,RNF123,E3 ubiquitin-protein ligase RNF123,A1L4Q3;A6NLS5;B3KU09;C9J266;C9JI97;C9JN91;C9JS59;Q5I022;Q5XPI4;Q6PFW4;Q71RH0;Q8IW18;Q9H0M8;Q9H5L8;Q9H9T2
-2.12073,-2.19638,ENSG00000183248,,Putative uncharacterized protein FLJ22184,Q9H3X1;Q9H6K5
-1.96289,-2.19744,ENSG00000165915,SLC39A13,Zinc transporter ZIP13,C9J1L9;D3DQR6;Q659D9;Q8N7C9;Q8WV10;Q96H72
-1.89033,-2.19969,ENSG00000154370,TRIM11,E3 ubiquitin-protein ligase TRIM11,A6NKE2;B2RB82;B3KUS3;B4DX88;Q5VSU1;Q8NCA6;Q96F44;Q9C022
-2.0931,-2.20155,ENSG00000025770,NCAPH2,Condensin-2 complex subunit H2,B7WPH1;O43788;Q13391;Q6IBW4;Q96C14;Q96GJ0;Q9BQ71;Q9BUT3;Q9BVD1
-2.27168,-2.20238,ENSG00000166016,ABTB2,Ankyrin repeat and BTB/POZ domain-containing protein 2,A8K6S9;B0QYQ3;B3KPV6;Q52LD6;Q6MZW4;Q8N961;Q8NB44
-2.10784,-2.20291,ENSG00000232434,C9orf172,Uncharacterized protein C9orf172,C9J069
-2.24509,-2.20364,ENSG00000119559,C19orf25,UPF0449 protein C19orf25,B3KQN6;B4DNJ8;Q8N9R7;Q8WV94;Q9UFG5
-2.21036,-2.20532,ENSG00000204673,AKT1S1,Proline-rich AKT1 substrate 1,A8MTQ1;B2RE93;Q96B36;Q96BI4;Q96IK7;Q96NG2;Q9BWR5
-2.42101,-2.20822,ENSG00000162878,PKDCC,"Protein kinase domain-containing protein, cytoplasmic",Q504Y2;Q96I09
-2.42852,-2.20971,ENSG00000174111,SOCS7,Suppressor of cytokine signaling 7,A2VCU2;B5MDS8;O14512;Q0IJ63
-2.20076,-2.211,ENSG00000198113,C9orf167,Torsin-4A,A2BFA4;Q9NXH8
-2.25438,-2.21153,ENSG00000167601,AXL;ufo,Tyrosine-protein kinase receptor UFO,P30530;Q15839;Q8N5L2;Q9UD27
-2.10275,-2.21425,ENSG00000116871,MAP7D1,MAP7 domain-containing protein 1,A1L1B7;B3KU03;B5MDZ6;C9JIR3;Q3KQU3;Q6NX58;Q7L8J5;Q8N905;Q8TAK0;Q9HBQ2;Q9NW29;Q9ULN3
-2.10127,-2.21473,ENSG00000099904,ZDHHC8,Probable palmitoyltransferase ZDHHC8,B7WP06;C9JVM2;Q2TGE9;Q6ICL1;Q6ZNF5;Q7Z6L9;Q9ULC8
-1.86363,-2.21484,ENSG00000198753,PLXNB3,Plexin-B3,A8K920;B7Z3E6;B7Z3H9;B7Z9A5;Q9HDA4;Q9ULL4
-2.48127,-2.21611,ENSG00000143554,SLC27A3,Long-chain fatty acid transport protein 3,Q5K4L6;Q5VUQ7;Q5VUQ8;Q5VUR3;Q5VUR4;Q6ZV16;Q8N2X7;Q8TEJ0;Q96SW5;Q9BTJ5;Q9BTY5
-2.33718,-2.21706,ENSG00000117385,DKFZp547C166;LEPRE1,Prolyl 3-hydroxylase 1,B4DNM8;B4DTG8;Q32P28;Q68CW0;Q7KZR4;Q96BR8;Q96SK8;Q96SL5;Q96SN3;Q9H6K3;Q9HC86;Q9HC87
-2.26509,-2.21774,ENSG00000105556,MIER2,Mesoderm induction early response protein 2,Q8N344;Q9ULM7
-2.21559,-2.21834,ENSG00000196517,SLC6A9,Sodium- and chloride-dependent glycine transporter 1;Transporter,A6NDH1;A6NII2;A6NNZ8;B7Z3W8;B7Z589;B7Z9G8;P48067;Q5TAB8;Q5TAB9;Q5TAC0
-2.28491,-2.22412,ENSG00000114270,COL7A1,Collagen alpha-1(VII) chain,A9Z119;B0LXL0;C9JBL3;Q02388;Q14054;Q16507;Q59F16
-2.33901,-2.22723,ENSG00000175906,ARL4D,ADP-ribosylation factor-like protein 4D,B2RC59;P49703
-1.59147,-2.2287,ENSG00000155016,CYP2U1,Cytochrome P450 2U1,A8K1T7;B2RMV7;B4DQW9;B4E0A0;B4E3H5;C9JN11;Q7Z449;Q96EQ6
-2.16146,-2.23026,ENSG00000218891,ZNF579,Zinc finger protein 579,Q8NAF0
-2.23969,-2.23079,ENSG00000070444,MNT,Max-binding protein MNT,A8K6D1;Q1ED38;Q99583
-2.26302,-2.2313,ENSG00000130749,ZC3H4,Zinc finger CCCH domain-containing protein 4,Q9UPT8;Q9Y420
-2.04378,-2.23133,ENSG00000241878,PISD,Phosphatidylserine decarboxylase alpha chain;Phosphatidylserine decarboxylase beta chain;Phosphatidylserine decarboxylase proenzyme,B1AJZ0;B1AKM6;B1AKM7;B1AKM8;B1AKM9;B1AKN0;B4DPS3;O43207;O95535;Q6IC28;Q96GQ2;Q9UG56;Q9UGA9
-2.01086,-2.23136,ENSG00000101945,MG44;SUV39H1,Histone-lysine N-methyltransferase SUV39H1,B2R6E8;B4DP90;B4DST0;C9J1V1;O43463;Q14828;Q53G60;Q6FHK6
-2.54625,-2.23144,ENSG00000106404,CLDN15,Claudin-15,B3KPB5;C9J3Z2;C9JHQ4;P56746;Q96FX9
-2.37734,-2.23151,ENSG00000168056,LTBP3;pp6425,Latent-transforming growth factor beta-binding protein 3,B3KW84;B4DQL8;B4DRN5;B9EG76;O15107;Q8WYU6;Q96HB9;Q9H7K2;Q9NS15;Q9P0Z7;Q9UFN4
-2.09248,-2.23197,ENSG00000103227,LA16c-360B4.1;LA16c-360B4.1-001;LMF1,Lipase maturation factor 1,B3KS80;B3KWK2;B4DFZ0;B4DH50;Q4VXX9;Q68CJ3;Q96FJ4;Q96S06;Q9H6G4;Q9H9K7
-2.32271,-2.23214,ENSG00000165029,ABC1;ABC-1;ABCA1,ATP-binding cassette sub-family A member 1,A5D8U6;B1AMI1;B1AMI2;B2RUU2;B7XCW9;C9JMF4;O95477;Q59HC0;Q5VX33;Q96S56;Q96T85;Q9H002;Q9NP93;Q9NQV4;Q9NS76;Q9UN06;Q9UN07;Q9UN08;Q9UN09
-2.11538,-2.23261,ENSG00000095321,CRAT,Carnitine O-acetyltransferase,A6PVN2;A6PVN3;B7ZBP5;C9JBD1;P43155;Q5T952;Q9BW16
-2.17728,-2.23299,ENSG00000148926,ADM,ADM;Adrenomedullin;Proadrenomedullin N-20 terminal peptide,B2R793;P35318;Q6FGW2
-2.20174,-2.23306,ENSG00000132470,ITGB4,Integrin beta;Integrin beta-4,A0AVL6;B7ZLD5;B7ZLD8;O14690;O14691;O15339;O15340;O15341;P16144;Q0VF97;Q2VP98;Q59H46;Q9UIQ4
-2.47935,-2.23327,ENSG00000123485,HJURP,Holliday junction recognition protein,A8IRH5;B4DWR0;B4DZV4;C9JWC4;Q8NCD3;Q9BUT2;Q9NSL8
-2.10786,-2.23785,ENSG00000110876,SELPLG,P-selectin glycoprotein ligand 1,A8K2Y0;B4DHR9;B4DQC3;B4DT54;B7Z5C7;Q12775;Q14242;Q6GTW7;Q8N7J7
-2.13544,-2.2379,ENSG00000140564,FURIN,Furin,P09958;Q14336;Q6LBS3;Q9UCZ5
-2.22685,-2.23867,ENSG00000105662,CRTC1,CREB-regulated transcription coactivator 1,A6NMG5;O75114;Q6UUV9;Q6Y3A3;Q7LDZ2;Q8IUL3;Q8IZ34;Q8IZL1;Q8N6W3;Q96AI8;Q9H801
-2.0366,-2.23988,ENSG00000179583,CIITA;MHC2TA,MHC class II transactivator,A0N0N9;P33076;Q29704;Q66X48;Q8SNB7;Q8SNB8;Q96KL4
